,업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적(건물내부+건물외부),건물내부면적,건물외부면적,소재지전화,업태명,동,위도,경도
0,휴게음식점,1995-05-13,원당커피숍,서울특별시 강서구 강서로 381,서울특별시 강서구 마곡동 722-1 ,80.39,80.39,0.0,  02- 665-8379,커피숍,마곡동 ,37.5508352,126.8352338
1,휴게음식점,2003-01-21,떼르드글라스화곡우장산점,서울특별시 강서구 화곡로13길 28,서울특별시 강서구 화곡동 1043-0 ,28.08,28.08,0.0,02-1111-1111,커피숍,화곡동 ,37.5409498,126.8338286
2,휴게음식점,2003-08-06,스타벅스 가양이마트점,"서울특별시 강서구 양천로 559,",서울특별시 강서구 가양동 449-19 가양이마트 (지상 1층) 매장동 ,83.4,83.4,0.0,  02- 758-8070,커피숍,가양동 ,37.559803,126.8558032
3,휴게음식점,2003-11-18,컴포즈커피,서울특별시 강서구 양천로 431,서울특별시 강서구 가양동 18-24 ,52.6,52.6,0.0,  02-3663-0351,커피숍,가양동 ,37.559803,126.8558032
4,휴게음식점,2006-03-10,샤론,"서울특별시 강서구 등촌로 101,",서울특별시 강서구 등촌동 564-1 배광교회 (지상 1층) ,155.75,155.75,0.0,  02-2644-0191,커피숍,등촌동 ,37.5515234,126.864002
5,휴게음식점,2008-05-23,커피집,"서울특별시 강서구 강서로45길 154,",서울특별시 강서구 내발산동 689-13 (지상 1층) ,77.38,77.38,0.0,  02-2664-9204,커피숍,내발산동,37.55203175,126.83095625437281
6,휴게음식점,2008-06-20,허니네커피,"서울특별시 강서구 강서로45가길 47,",서울특별시 강서구 화곡동 1013-13 2층 202호,82.3,82.3,0.0,  02-2607-7746,커피숍,화곡동 ,37.545873900000004,126.83578989872467
7,휴게음식점,2008-09-02,웨스트엔드문화카페,"서울특별시 강서구 강서로47길 169,","서울특별시 강서구 내발산동 750-12 웨스트엔드아트센터 (지상 1층), 103~104호 웨스트엔드아트센터동 ",82.12,82.12,0.0,  02-2667-8550,커피숍,내발산동,37.5535071,126.8267693
8,휴게음식점,2008-10-08,더와이즈 커피숍,"서울특별시 강서구 까치산로 23,",서울특별시 강서구 화곡동 105-68 외 4필지 (지상 1층) ,45.69,45.69,0.0,  02-2600-5000,커피숍,화곡동 ,37.5473,126.84874
9,휴게음식점,2008-11-25,탐앤탐스 화곡역점,"서울특별시 강서구 화곡로 176-4,",서울특별시 강서구 화곡동 1076-1 화곡메디칼 (지상 1~ 2층 일부) ,181.5,181.5,0.0,  02- 758-8271,커피숍,화곡동 ,37.5420589,126.842453
10,휴게음식점,2009-06-23,요거프레소,"서울특별시 강서구 양천로 461,",서울특별시 강서구 가양동 1480-8 주영빌딩 (지상 1층) 104호,52.0,52.0,0.0,02-1111-1111,커피숍,가양동 ,37.559803,126.8558032
11,휴게음식점,2009-07-22,그라나다카페,"서울특별시 강서구 허준로5길 37,",서울특별시 강서구 가양동 1470-2 (지상 1층) A동 ,95.0,95.0,0.0,  02-3661-3402,커피숍,가양동 ,37.5686089,126.8507035
12,휴게음식점,2009-10-28,커피에이엠,"서울특별시 강서구 화곡로 296,",서울특별시 강서구 화곡동 980-21 (지상 1층) 110호,39.0,39.0,0.0,  02-2605-7708,커피숍,화곡동 ,37.5420589,126.842453
13,휴게음식점,2009-11-20,카페모아실로암안과병원점(실로암장애인근로사업장),"서울특별시 강서구 등촌로 181,",서울특별시 강서구 등촌동 512-18 외 1필지 실로암안과병원 (지상 1층) ,22.11,22.11,0.0,  02-2650-0700,커피숍,등촌동 ,37.5515234,126.864002
14,휴게음식점,2009-12-28,호텔디아망,서울특별시 강서구 남부순환로 190,서울특별시 강서구 외발산동 280-1 외 2필지 (지하 2층) ,91.98,91.98,0.0,02-1111-1111,커피숍,외발산동,37.548429150000004,126.81933960245398
15,휴게음식점,2009-02-03,바이주 커피 로스터스(BYJOO COFFEE ROASTERS),"서울특별시 강서구 수명로 68-35,",서울특별시 강서구 내발산동 750-10 웨스트엔드중정 3층 304호,101.43,101.43,0.0,  02-2667-3007,커피숍,내발산동,37.55299515,126.82679678019826
16,휴게음식점,2010-01-19,할리스,"서울특별시 강서구 양천로 583,",서울특별시 강서구 염창동 240-21 우림블루나인비지니스센터 지상1층 A동 114호,70.97,70.97,0.0,  02-2093-2977,커피숍,염창동 ,37.55710845,126.86419336669849
17,,,,,,,,,,,,37.535652,126.8411569
18,휴게음식점,2010-03-05,윤지,서울특별시 강서구 가로공원로84길 7-5,서울특별시 강서구 화곡동 367-116 (지상 1층) ,21.33,21.33,0.0,  02-2065-0369,커피숍,화곡동 ,37.5287961,126.8440973
19,휴게음식점,2010-04-05,뜰안에,"서울특별시 강서구 강서로7길 150,",서울특별시 강서구 화곡동 936-8 (지상 1층) ,62.12,62.12,0.0,  02-2692-2080,커피숍,화곡동 ,37.559803,126.8558032
20,휴게음식점,2010-04-16,엔제리너스가양아름다운아울렛점,"서울특별시 강서구 양천로 476,",서울특별시 강서구 등촌동 73-1 (지상 7층) 5호,149.38,149.38,0.0,  02-2169-8714,커피숍,등촌동 ,37.559803,126.8558032
21,휴게음식점,2010-04-30,카페인더애틱 Cafe in the Attic,"서울특별시 강서구 양천로 19,",서울특별시 강서구 방화동 498-4 (지상 1층) 104호,33.0,33.0,0.0,  02-2662-2661,커피숍,방화동 ,37.54579965,126.82024256564327
22,휴게음식점,2010-06-14,카페모나티,"서울특별시 강서구 남부순환로 222,",서울특별시 강서구 외발산동 428-0 서울자동차학원 (지상 1층) 사무동 ,5.0,5.0,0.0, 070-4148-0393,커피숍,외발산동,37.5611331,126.8122158
23,휴게음식점,2010-06-22,탐앤탐스 강서구청사거리점,"서울특별시 강서구 공항대로 395,",서울특별시 강서구 등촌동 657-3 기도산업사옥 (지상 1층) ,165.53,165.53,0.0,  02-3661-9890,커피숍,등촌동 ,37.5515234,126.864002
24,휴게음식점,2010-06-29,베네등촌역점,"서울특별시 강서구 등촌로 223,",서울특별시 강서구 등촌동 507-8 에이큐빌딩 (지상 1층) 101호,159.46,159.46,0.0,  02-2645-3262,커피숍,등촌동 ,37.5547207,126.8615232
25,휴게음식점,2010-07-22,커피타라 Coffee Tara,"서울특별시 강서구 공항대로55길 10,",서울특별시 강서구 등촌동 650-0 (지상 1층) ,22.32,22.32,0.0,  02-3663-8201,커피숍,등촌동 ,37.5508352,126.8352338
26,휴게음식점,2010-07-23,미스터로티,서울특별시 강서구 강서로 179,서울특별시 강서구 화곡동 1051-27 K빌딩 (지상 1층) ,7.45,7.45,0.0,02-1111-1111,커피숍,화곡동 ,37.5420589,126.842453
27,휴게음식점,2010-07-29,베네화곡중앙점,"서울특별시 강서구 화곡로 228,",서울특별시 강서구 화곡동 24-484 지상2층 ,221.0,221.0,0.0,  02-2607-6232,커피숍,화곡동 ,37.545739749999996,126.79895791289152
28,휴게음식점,2010-07-29,아시아나타운점 까페,"서울특별시 강서구 오정로 443-83,",서울특별시 강서구 오쇠동 47-0 외 1필지 (지하 1층) ,41.7,41.7,0.0,  02-3397-6262,커피숍,오쇠동 ,37.557558,126.8589126
29,휴게음식점,2010-08-19,커피구멍가게,"서울특별시 강서구 화곡로68길 36,",서울특별시 강서구 등촌동 639-8 외1필지 에이스에이존 (지상1층) 107호,40.32,40.32,0.0,  02-3665-9042,커피숍,등촌동 ,37.5595538,126.8395988
30,휴게음식점,2010-09-01,아리스타커피,"서울특별시 강서구 강서로56가길 53,",서울특별시 강서구 등촌동 679-6 (지상 1층) ,32.6,32.6,0.0,02-1111-1111,커피숍,등촌동 ,37.559803,126.8558032
31,휴게음식점,2010-09-17,까페베네,"서울특별시 강서구 양천로 366,",서울특별시 강서구 가양동 105-3 외5필지 (지상 1층) ,268.71,268.71,0.0,  02-3661-6222,커피숍,가양동 ,37.559803,126.8558032
32,휴게음식점,2010-10-04,착한 양,"서울특별시 강서구 양천로 699,",서울특별시 강서구 염창동 250-14 외 1필지 (지상 3층) ,13.2,13.2,0.0,02-1111-1111,커피숍,염창동 ,37.5508352,126.8352338
33,,,,,,,,,,,,37.5508352,126.8352338
34,휴게음식점,2010-10-29,스타일카페,서울특별시 강서구 강서로 46,서울특별시 강서구 화곡동 341-67 1층 ,3.0,3.0,0.0,02-1111-1111,커피숍,화곡동 ,37.5674988,126.812119
35,휴게음식점,2010-11-02,커피아마토르,"서울특별시 강서구 강서로 462,",서울특별시 강서구 등촌동 684-3 대룡드림타워-1 (지상 1층) 106~107호,60.08,60.08,0.0,  02-2659-0520,커피숍,등촌동 ,37.5478773,126.83365844987453
36,휴게음식점,2010-11-03,클로비스,"서울특별시 강서구 방화동로 75,",서울특별시 강서구 방화동 598-163 (지하 1층) ,13.22,13.22,0.0,02-1111-1111,커피숍,방화동 ,37.5487967,126.8617244
37,휴게음식점,2010-11-24,소나 카페테라,"서울특별시 강서구 강서로45길 45,",서울특별시 강서구 화곡동 1008-11 (지상 1층) ,23.1,23.1,0.0,  02-2065-1810,커피숍,화곡동 ,37.55020895,126.87081569291922
38,휴게음식점,2010-12-06,이마트24강서등마루점,"서울특별시 강서구 등촌로51길 11,",서울특별시 강서구 등촌동 526-1 (지상 1층) ,5.0,5.0,0.0,02-1111-1111,커피숍,등촌동 ,37.54903995,126.83420214256604
39,휴게음식점,2010-12-10,푸른초장,서울특별시 강서구 공항대로59다길 147,서울특별시 강서구 염창동 264-30 (지상 2층) ,71.76,71.76,0.0,  02-3665-4477,커피숍,염창동 ,37.55272435,126.8664041147481
40,휴게음식점,2010-12-22,하늘꿈북까페,"서울특별시 강서구 강서로45라길 28,",서울특별시 강서구 내발산동 720-1 (지상 1층) ,128.79,128.79,0.0,  02-2664-3126,커피숍,내발산동,37.5602409,126.84580045
41,휴게음식점,2011-01-03,카페 소금다방,서울특별시 강서구 공항대로61길 42,서울특별시 강서구 염창동 271-0 (지상1층) ,35.15,35.15,0.0,  02-2651-3333,커피숍,염창동 ,37.5420589,126.842453
42,휴게음식점,2011-01-11,등촌빈스토리,"서울특별시 강서구 공항대로41길 51,",서울특별시 강서구 등촌동 696-0 세신그린코아 (지상1층) 129호,23.22,23.22,0.0,  02-3661-3356,커피숍,등촌동 ,37.553141600000004,126.86770275
43,휴게음식점,2011-01-25,이디야강서점,"서울특별시 강서구 화곡로 292,",서울특별시 강서구 화곡동 981-1 외 2필지 서광프리메라 (지상 1층) 104호,68.93,68.93,0.0,  02- 525-5555,커피숍,화곡동 ,37.551895200000004,126.86804079999999
44,휴게음식점,2011-02-01,할리스 개화산점,"서울특별시 강서구 양천로 28,",서울특별시 강서구 방화동 849-0 벽산에어트리움 (지상 1층) 본관동 101~103호,95.01,95.01,0.0,  02-2064-1455,커피숍,방화동 ,37.5420589,126.842453
45,휴게음식점,2011-03-14,소풍가는날,서울특별시 강서구 공항대로59다길 85,서울특별시 강서구 염창동 267-19 (지상1층) ,25.0,25.0,0.0,  02-3661-4534,커피숍,염창동 ,37.5560622,126.8424488
46,휴게음식점,2011-03-29,칸토빈 가양점,"서울특별시 강서구 화곡로 429,",서울특별시 강서구 가양동 14-84 지하철9호선 가양역사내 지하 1층 ,27.48,27.48,0.0,  02-3663-7716,커피숍,가양동 ,37.5611331,126.8122158
47,휴게음식점,2011-04-11,시나브로빈스토리,서울특별시 강서구 공항대로42길 61,서울특별시 강서구 내발산동 661-26 내발산동주택 (지상 1층) ,38.49,38.49,0.0,  02-3664-3357,커피숍,내발산동,37.5502498,126.8774176
48,휴게음식점,2011-05-04,이디야강서사거리점,"서울특별시 강서구 공항대로 437,",서울특별시 강서구 등촌동 654-44 (지상 1층) ,76.04,76.04,0.0,  02-3664-8665,커피숍,등촌동 ,37.553141600000004,126.86770275
49,휴게음식점,2011-05-16,씨유 염창동아점,"서울특별시 강서구 양천로 731,",서울특별시 강서구 염창동 258-1 외 1필지 동아3차아파트 (지상 1층) 309동 102-1호,3.0,3.0,0.0,  02-2659-4956,커피숍,염창동 ,37.5370449,126.8357507
50,휴게음식점,2011-05-23,이디야 개화산역점,"서울특별시 강서구 양천로 28,",서울특별시 강서구 방화동 849-0 벽산에어트리움 (지상 1층) 본관동 105호,44.05,44.05,0.0,  02-2665-5599,커피숍,방화동 ,37.5515234,126.864002
51,휴게음식점,2011-06-14,씨유 강서가로공원점,"서울특별시 강서구 가로공원로 216,",서울특별시 강서구 화곡동 368-3 1층 씨유마트 내 ,3.3,3.3,0.0,  02-2604-1888,커피숍,화곡동 ,37.5508352,126.8352338
52,휴게음식점,2011-06-20,카페보굼,"서울특별시 강서구 등촌로 3,",서울특별시 강서구 화곡동 782-5 부경빌딩 (지상 1층) ,42.9,42.9,0.0,02-1111-1111,커피숍,화곡동 ,37.5705664,126.8195002
53,휴게음식점,2011-07-01,훼미리마트(등촌평안점),"서울특별시 강서구 강서로 460,",서울특별시 강서구 등촌동 682-0 평안빌딩 (지상 1층) 훼미리마트 내 102~105호,10.0,10.0,0.0,02-1111-1111,커피숍,등촌동 ,37.5535252,126.871079
54,휴게음식점,2011-07-13,커피올렌스,"서울특별시 강서구 방화대로34길 70,",서울특별시 강서구 방화동 187-47 지상1층 ,41.98,41.98,0.0,  02-2666-7306,커피숍,방화동 ,37.5529972,126.8719689
55,휴게음식점,2011-08-02,해피빈스토리,"서울특별시 강서구 양천로69길 58,",서울특별시 강서구 염창동 292-0 외 1필지 동아아파트 (지상 1층) 상가동 101호,26.1,26.1,0.0,  02-3665-3376,커피숍,염창동 ,37.5488234,126.8360725
56,휴게음식점,2011-08-19,데일리카페,"서울특별시 강서구 양천로71길 14,",서울특별시 강서구 염창동 248-8 (지상 1층) 가동 ,33.0,33.0,0.0,  02- 795-0261,커피숍,염창동 ,37.5726127,126.8217498
57,휴게음식점,2011-08-30,투썸플레이스우장산역,서울특별시 강서구 강서로 259,서울특별시 강서구 내발산동 723-2 우장산역엠버리움빌딩 (지상 1~2층) 101호 201~202호 ,261.4,261.4,0.0,02-1111-1111,커피숍,내발산동,37.5596199,126.838934
58,휴게음식점,2011-09-22,띠아모(신방화사거리),"서울특별시 강서구 양천로26길 6,",서울특별시 강서구 방화동 178-2 (지상 1층) ,102.3,102.3,0.0,  02-2661-1221,커피숍,방화동 ,37.55926235,126.84574147984927
59,휴게음식점,2011-09-22,더카페강서NC9층점,"서울특별시 강서구 강서로56길 17,",서울특별시 강서구 등촌동 689 엔씨백화점 9층 ,33.72,33.72,0.0,  02-2667-9845,커피숍,등촌동 ,37.54771085,126.83308900178918
60,휴게음식점,2011-10-04,이디야등촌3동점,"서울특별시 강서구 공항대로41길 34,",서울특별시 강서구 등촌동 700-0 플러스존 (지상 1층) 101호,39.96,39.96,0.0,  02-3662-4661,커피숍,등촌동 ,37.5327556,126.8491071
61,휴게음식점,2011-10-14,요거프래소화곡푸르지오,"서울특별시 강서구 강서로45길 49-4,",서울특별시 강서구 내발산동 714-4 태승훼미리아파트 (지상 1층) 상가동 7호,0.0,0.0,0.0,  02-2604-3171,커피숍,내발산동,37.5677465,126.8023922
62,휴게음식점,2011-10-14,디자인키즈,"서울특별시 강서구 강서로16길 32,",서울특별시 강서구 화곡동 341-16 (지상 1층) ,33.6,33.6,0.0,02-1111-1111,커피숍,화곡동 ,37.5677465,126.8023922
63,휴게음식점,2011-11-28,롯데푸드(주)커피김포공항점,"서울특별시 강서구 하늘길 38,",서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지하 2층) ,11.95,11.95,0.0,  02-6116-2500,커피숍,방화동 ,37.5677465,126.8023922
64,휴게음식점,2011-11-29,롯데컬쳐웍스(주)롯데시네마 김포공항 엔제리너스,"서울특별시 강서구 하늘길 38,",서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지상 1층) ,94.47,94.47,0.0,  02-6116-4703,커피숍,방화동 ,37.5677465,126.8023922
65,휴게음식점,2011-11-29,디바인그라인드,"서울특별시 강서구 하늘길 38,",서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지하 2층) ,16.53,16.53,0.0,  02-6116-5727,커피숍,방화동 ,37.5677465,126.8023922
66,휴게음식점,2011-11-30,(주)영우 롯데백화점 김포공항점,"서울특별시 강서구 하늘길 38,",서울특별시 강서구 방화동 886-0 외 6필지 김포공항 스카이파크 (지하 3층) ,14.0,14.0,0.0,  02-6116-2779,커피숍,방화동 ,37.5744543,126.8138593
67,휴게음식점,2011-12-05,엔제리너스 롯데몰 김포공항2호점,"서울특별시 강서구 하늘길 38,",서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지하 2층) ,97.71,97.71,0.0,  02-6116-5715,커피숍,방화동 ,37.5702418,126.80244774518562
68,휴게음식점,2011-12-05,애프터커피 after coffee,"서울특별시 강서구 방화대로45길 70,",서울특별시 강서구 방화동 452-2 (지상 1층) ,60.39,60.39,0.0,  02-2662-9525,커피숍,방화동 ,37.5420589,126.842453
69,휴게음식점,2011-12-07,페이퍼 존,"서울특별시 강서구 하늘길 76,",서울특별시 강서구 과해동 676-0 이마트 3층 ,98.15,98.15,0.0,02-1111-1111,커피숍,과해동 ,37.5380043,126.8391981
70,휴게음식점,2011-12-09,치프빈(Chief Bean),"서울특별시 강서구 화곡로 347,",서울특별시 강서구 화곡동 1095-0 그랜드아이파크 (지상 1층) 117호,42.37,42.37,0.0,02-1111-1111,커피숍,화곡동 ,37.5300469,126.8454693
71,휴게음식점,2011-12-27,55커피로스터스,"서울특별시 강서구 화곡로24길 43,",서울특별시 강서구 화곡동 1078-1 (지상 1층) ,20.6,20.6,0.0,  02-2692-8260,커피숍,화곡동 ,37.559803,126.8558032
72,휴게음식점,2012-01-13,이디야 커피(화곡사거리점),"서울특별시 강서구 곰달래로 135,",서울특별시 강서구 화곡동 342-53 (지상 1층) ,26.4,26.4,0.0,  02-2607-6323,커피숍,화곡동 ,37.5300469,126.8454693
73,휴게음식점,2012-01-17,투썸플레이스 가양역점,"서울특별시 강서구 양천로 504,",서울특별시 강서구 등촌동 628-11 청산빌딩 (지상 1층) ,166.93,166.93,0.0,02  -2668-7021,커피숍,등촌동 ,37.5668675,126.8159207
